"X1882" "X1889" "X1890" "X1892" "X1893" "X1894" "X1906" "X1907" "X1908" "X1909" "X1911" "X1912" "X1916" "X1920" "X1921" "X1922" "X1924" "X1925" "X1926" "X1927" "X1929" "X1930" "X1933" "X1938" "X1941" "X1943" "X1944" "X1952" "X1964" "X1965" "X1966" "X1972" "X1975" "X1976" "X1980" "X1981" "X1983" "X1985" "X1994" "X1997" "X1999" "X2000" "X2010" "X2011" "X2013" "X2016" "X2017" "X2019" "X2020"
"Alces_alces" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
"Ateles_belzebuth" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Atelocynus_micro" 0 0 0 0 0 11 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bassariscus_astu" 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0
"Blastocerus_dich" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bos_taurus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 62 0 0 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7
"Cabassous_tatoua" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"Callithrix_kuhli" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 460 200
"Canis_latrans" 0 0 0 0 0 0 0 0 0 5 0 0 0 3 9 68 6 0 5 32 0 0 0 0 0 0 0 6 0 12 24 2 0 5 0 0 1 0 0 37 54 0 0 0 0 0 24 0 0
"Canis_lupus" 0 0 0 3 0 0 0 0 0 0 0 0 61 0 0 0 0 0 0 0 0 0 7 0 0 61 68 0 0 0 89 10 0 3 0 19 0 0 0 0 0 1 0 0 0 15 0 21 66
"Castor_canadensi" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cebus_nigritus" 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"Cebus_xanthoster" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3
"Cerdocyon_thous" 3 0 17 0 37 0 86 42 21 0 0 0 132 0 0 0 0 0 0 0 0 0 57 6 2 9 3 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 66 0 0 17 50
"Cervus_canadensi" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Chaetomys_subspi" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"Chrysocyon_brach" 0 0 45 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0
"Conepatus_chinga" 0 0 0 0 0 0 6 9 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 0 0 0 0
"Conepatus_leucon" 0 0 0 0 0 0 0 0 0 3 0 0 0 3 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Conepatus_mesole" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"Conepatus_semist" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
"Cuniculus_paca" 0 3 0 2 0 47 0 0 0 0 183 13 0 0 0 0 0 0 9 0 5 1 0 6 1 0 0 0 0 0 0 0 0 0 3 11 19 18 0 0 0 0 3 0 9 1 0 10 15
"Cuniculus_taczan" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dasyprocta_agout" 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dasyprocta_azara" 13 0 0 0 122 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 0 55 0 0 0 0 0 0 0 0 0 0 0 0 0 45 0 0 0 0 37 0 0 0 0 0
"Dasyprocta_fulig" 0 0 0 0 0 0 0 0 0 0 105 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0
"Dasyprocta_lepor" 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 141 0 0 0 0 0 0 0 0 0 1 0
"Dasyprocta_mexic" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dasyprocta_punct" 0 0 0 0 0 98 0 0 0 0 0 0 0 0 0 0 0 0 125 0 0 18 12 0 0 405 668 0 0 0 0 0 0 0 0 0 43 0 0 0 0 0 0 0 0 0 0 0 0
"Dasypus_hybridus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0
"Dasypus_kappleri" 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0
"Dasypus_novemcin" 2 8 3 1 2 3 53 11 4 1 13 0 76 1 0 0 0 0 1 27 1 1 0 2 4 46 32 0 0 0 0 0 0 0 0 3 35 2 0 0 8 0 1 47 47 1 0 6 2
