"X97" "X103" "X104" "X107" "X108" "X109" "X110" "X112" "X125" "X133" "X153" "X154" "X155" "X156" "X157" "X171" "X177" "X179" "X214" "X229" "X249" "X274" "X1007" "X1009" "X1010" "X1657" "X2006" "X2007" "X2026" "X2035" "X2051" "X2053" "X2057" "X2058" "X2060" "X2089" "X2090"
"Abies_balsamea" 0 0 0 535 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 54 0 0 0 0 0 0 0 0 0 0 0 0 0
"Abies_fraseri" 0 0 1113 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Acer_negundo" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 4 0 0 0 0 0 0 2 0 0 0 0 0 0 0
"Acer_pennsylvanica" 0 0 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Acer_pensylvanicum" 0 12 0 0 10 14 0 0 0 0 0 14 28 0 0 4 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Acer_rubrum" 81 116 0 79 3 0 0 8 0 24 0 1 0 0 4 35 0 20 0 2 0 73 61 18 0 19 24 5 0 0 0 8 18 13 22 67 0
"Acer_rubum" 0 0 0 0 0 0 8 0 0 0 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Acer_saccharinum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Acer_saccharum" 83 8 0 4 0 4 1470 0 0 949 196 217 158 0 0 7 0 0 0 1 20 0 0 175 260 0 0 15 129 0 0 6 120 0 0 138 0
"Acer_spicatum" 0 2 2 0 0 0 0 0 0 33 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aesculus_flava" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 1 0
"Aesculus_octandra" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Alnus_rugosa" 0 0 0 84 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Amelanchier_arbore" 1 0 0 42 17 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 3 0 0
"Amelanchier_laevis" 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Asimina_triloba" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 2 0 0 0 0
"Betula_alleghanien" 0 0 0 0 0 0 34 0 0 0 61 19 17 0 0 29 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0
"Betula_lenta" 0 26 0 0 39 25 0 55 0 9 0 0 0 0 0 0 0 0 0 0 0 27 0 0 0 0 0 0 0 0 0 0 0 0 8 1 0
"Betula_lutea" 0 179 32 169 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Betula_nigra" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 13 0 0 0 0 0 0 0 0 0
"Betula_papyrifera" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 28 29 0 0 0 0 0 0 0 0 0 0 0 0
"Carpinus_carolinia" 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 14 0 0 0 0
"Carya_alba" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0
