Species              "X2058"   "X103"    "X2035"   "X1007"   "X2090"   "X2057"   "X249"    "X153"    "X171"    "X104"    "X108"    "X109"    "X2060"   "X229"    "X2006"   "X2007"   "X1010"   "X2053"   "X177"    "X133"    "X2051"   "X156"    "X110"    "X1657"   "X274"    "X155"    "X1009"   "X2089"   "X154"    "X2026"   "X125"    "X214"              "X112"    "X107"    "X157"    "X179"   
"Acer_rubrum"             18.0      81.0       0.0      73.0      67.0       8.0       2.0      24.0       4.0     116.0      79.0       3.0      13.0       0.0      19.0      24.0      18.0       0.0      35.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0      61.0      22.0       0.0       5.0       8.0      20.0       0.0       0.0       0.0       0.0       0.0
"Prunus_serotina"          4.0       1.0       0.0      10.0       1.0       2.0       1.0       4.0       1.0      19.0       9.0       0.0       0.0       0.0       4.0       0.0       0.0       3.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0     410.0       0.0       7.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Ostrya_virginiana"      560.0       1.0       3.0       0.0       4.0       0.0       1.0       7.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0      54.0       0.0       8.0       0.0       0.0       0.0       1.0     136.0     114.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0      39.0       0.0       0.0       0.0
"Fagus_grandifolia"      105.0       0.0      38.0       0.0      30.0       8.0       1.0      23.0       0.0      43.0       5.0       0.0       7.0       0.0       0.0       0.0       0.0       0.0       7.0       0.0       0.0     203.0       0.0       0.0       0.0     232.0       0.0       0.0     109.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Fraxinus_americana"      19.0      28.0       8.0       2.0      12.0       4.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       8.0      16.0       0.0       0.0       0.0       2.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Quercus_rubra"            3.0       0.0       9.0      92.0       4.0       0.0       0.0     132.0       0.0       0.0       0.0       4.0       0.0       0.0       0.0       2.0       0.0       0.0      21.0       0.0       6.0       0.0       6.0       0.0       0.0       0.0       0.0       0.0       0.0       6.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Liriodendron_tulip"       6.0      37.0       2.0      13.0      43.0       9.0      28.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       2.0      10.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       8.0       0.0       0.0       0.0       0.0       0.0       0.0
"Tilia_americana"          9.0       0.0       3.0       0.0       0.0       0.0       0.0     114.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0      68.0       0.0       0.0       0.0       3.0       0.0       0.0      67.0      92.0       0.0       0.0       3.0       0.0       1.0       0.0       0.0       0.0      50.0       0.0       0.0       0.0
"Carya_tomentosa"         17.0       7.0       0.0       0.0      14.0       8.0      21.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0      18.0       5.0       0.0      17.0       0.0       9.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Fraxinus_pennsylva"       6.0       0.0       0.0       0.0       0.0       1.0       0.0       3.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0       2.0       0.0       0.0       0.0       3.0       0.0       0.0       2.0       0.0       0.0      21.0       0.0       0.0       0.0       0.0      12.0       0.0       0.0       0.0       0.0       0.0
"Betula_lenta"             0.0       0.0       0.0      27.0       1.0       0.0       0.0       9.0       0.0      26.0       0.0      39.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0      25.0       0.0       0.0       0.0       0.0       8.0       0.0       0.0      55.0       0.0       0.0       0.0       0.0       0.0       0.0
"Oxydendrum_arboreu"       4.0      64.0       3.0      18.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0      12.0       0.0       0.0      18.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Acer_pensylvanicum"       0.0       0.0       0.0       8.0       0.0       0.0       0.0       0.0       0.0      12.0       0.0      10.0       0.0       0.0       0.0       0.0       0.0       0.0       4.0       0.0       0.0      28.0      14.0       0.0       0.0      14.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Ulmus_americana"          0.0       3.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       2.0       0.0       0.0       9.0       0.0       0.0      26.0      56.0       0.0       6.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Carya_cordiformis"        0.0       1.0       1.0       0.0       3.0       0.0       2.0       3.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Liquidambar_styrac"       0.0       0.0       0.0       0.0       0.0      18.0       0.0       0.0      13.0       0.0       0.0       0.0       3.0       3.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0      19.0       0.0       0.0       0.0       2.0       0.0
"Magnolia_acuminata"      20.0       0.0       0.0       2.0       9.0       0.0       0.0      28.0       0.0       4.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Diospyros_virginia"       0.0       1.0      18.0       0.0       2.0       0.0       7.0       0.0       0.0       0.0       0.0       0.0       0.0       4.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Quercus_coccinea"         0.0      19.0       1.0      16.0       0.0       2.0      11.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Juglans_nigra"            0.0       3.0       5.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0       8.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Pinus_strobus"            0.0       0.0       0.0      18.0       0.0       0.0       0.0       0.0       0.0       2.0       0.0      11.0       0.0       0.0       0.0       0.0       4.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Betula_lutea"             0.0       0.0       0.0       3.0       0.0       0.0       0.0       0.0       0.0     179.0     169.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0      32.0       0.0       0.0
"Betula_nigra"             0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0      13.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Acer_spicatum"            0.0       0.0       0.0       0.0       0.0       0.0       0.0      33.0       0.0       2.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       2.0       0.0       0.0
"Celtis_occidentali"       0.0       2.0       6.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       3.0       0.0       0.0       3.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Ulmus_alata"             30.0       0.0       0.0       0.0       1.0       6.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       3.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Quercus_montana"          0.0       0.0       0.0       0.0       7.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0      25.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0      18.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Carpinus_carolinia"      14.0       3.0       0.0       0.0       0.0      13.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
