Species              "X667"    "X588"    "X680"    "X593"    "X598"    "X638"    "X689"              "X964"    "X674"    "X668"    "X597"    "X670"    "X1567"   "X669"    "X1566"   "X966"   
"Onthophagus_penn"         1.0       1.0       1.0       1.0       1.0       1.0       0.0       1.0       1.0       0.0       1.0       1.0       0.0       0.0       1.0       0.0       0.0
"Aphodius_fimetar"         1.0       0.0       1.0       0.0       0.0       0.0       1.0       0.0       1.0       1.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0
"Copris_fricator"          0.0       0.0       1.0       0.0       1.0       0.0       0.0       1.0       0.0       0.0       1.0       1.0       0.0       0.0       0.0       0.0       0.0
"Copris_minutus"           0.0       1.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0       1.0       1.0       0.0       0.0
"Aphodius_ruricol"         0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       1.0       0.0       1.0       0.0       1.0       0.0       1.0       0.0       0.0
"Onthophagus_okla"         1.0       1.0       0.0       1.0       1.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Aphodius_lividus"         1.0       1.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       1.0
"Onthophagus_taur"         0.0       0.0       1.0       1.0       0.0       0.0       0.0       1.0       0.0       0.0       1.0       0.0       1.0       0.0       0.0       0.0       0.0
"Phanaeus_vindex"          1.0       1.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0       1.0       0.0       0.0       0.0       0.0       0.0
"Onthophagus_orph"         0.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       1.0       1.0       0.0       1.0       0.0       0.0
"Onthophagus_tube"         1.0       1.0       0.0       1.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Melanocanthon_bi"         0.0       1.0       0.0       1.0       1.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Aphodius_rubeolu"         1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0       1.0       0.0       0.0       0.0       0.0       0.0
"Aphodius_haemorr"         1.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Deltochilum_gibb"         0.0       1.0       0.0       1.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Geotrupes_egerie"         0.0       1.0       1.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
