Species              "X1297"   "X752"    "X1287"   "X801"    "X930"    "X1746"   "X1752"   "X746"    "X918"    "X1737"   "X1734"   "X944"    "X932"    "X920"    "X952"    "X936"    "X953"    "X946"    "X950"    "X945"    "X1298"   "X747"    "X816"    "X949"    "X921"    "X1740"   "X1299"   "X951"    "X947"    "X1757"             "X927"    "X815"    "X954"    "X1743"   "X955"    "X1697"  
"Sturnira_lilium"         61.0      25.0     279.0       4.0      75.0      34.0       5.0      34.0       2.0     157.0       1.0       0.0       0.0     132.0       4.0      21.0      25.0       3.0      42.0      80.0      59.0      50.0       0.0     125.0       0.0      10.0      41.0      59.0       5.0       0.0      55.0       8.0      26.0       0.0      67.0       0.0       0.0
"Micronycteris_mega"       0.0       5.0       1.0       0.0       6.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       2.0       0.0       2.0       1.0       6.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       2.0       1.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Platyrrhinus_recif"      21.0      29.0       0.0       2.0      15.0       0.0       0.0       0.0       0.0       5.0      21.0       0.0       1.0       2.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       3.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Lasiurus_ega"             0.0       1.0       1.0       0.0       2.0       0.0       0.0       1.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       2.0       0.0       1.0       0.0       0.0       1.0       0.0       0.0       0.0       3.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Vampyressa_pusilla"       3.0       6.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0      10.0       0.0       0.0       3.0       2.0       0.0       0.0       9.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       6.0       0.0       2.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Pygoderma_bilabiat"       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       2.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       3.0       1.0      11.0       0.0       0.0       7.0       0.0       0.0       4.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0
"Myotis_riparius"          0.0      35.0       0.0       0.0      14.0       0.0       0.0       0.0       0.0       8.0      13.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       6.0       0.0       0.0       0.0       4.0       0.0       0.0       0.0       0.0       0.0       0.0       4.0       0.0       0.0
"Lasiurus_blossevil"       0.0       1.0       6.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0       1.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       6.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0
"Eptesicus_furinali"       0.0       0.0       2.0       0.0       0.0       0.0       0.0       0.0       2.0       0.0       0.0       0.0       0.0       3.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0       1.0       3.0      18.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Chiroderma_doriae"        0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       3.0       3.0       0.0       0.0       0.0       1.0       6.0       0.0       0.0       0.0       2.0       0.0       2.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
