Species              "X1246"   "X1825"   "X1827"   "X1797"   "X1202"   "X1421"   "X1443"   "X1381"   "X1852"   "X1856"   "X1826"   "X1248"   "X1340"   "X1422"   "X1423"   "X1842"   "X1832"   "X1342"   "X1382"   "X1846"   "X1803"   "X1397"   "X1661"   "X1893"             "X2360"   "X1941"  
"Oligoryzomys_nigri"     295.0       0.0       2.0      42.0      17.0       7.0     130.0       0.0       0.0       0.0       7.0       5.0       7.0     122.0      42.0       5.0       2.0      18.0       0.0       6.0      41.0       0.0       0.0       0.0       0.0       0.0       0.0
"Necromys_lasiurus"        2.0     150.0       0.0       0.0       1.0       0.0      38.0       0.0       5.0       0.0       0.0      11.0      14.0      23.0      36.0     258.0       0.0      45.0       0.0       0.0       3.0       0.0       0.0       0.0       0.0       0.0       0.0
"Akodon_montensis"       179.0       0.0       9.0      67.0       0.0       0.0      15.0       0.0       0.0       0.0       0.0       0.0       0.0      66.0      20.0       0.0       2.0       3.0       0.0      55.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Calomys_tener"            9.0       2.0       0.0       1.0       0.0       0.0     219.0       0.0       0.0       0.0       0.0       0.0       0.0      42.0     145.0     141.0       0.0      49.0       0.0       0.0     377.0       0.0       0.0       0.0       0.0       0.0       0.0
"Oligoryzomys_flave"       0.0       0.0       0.0       0.0       0.0       0.0     227.0      19.0       0.0      52.0       0.0       0.0       0.0     222.0     204.0       0.0       6.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Juliomys_pictipes"       17.0       0.0       7.0       2.0       0.0       0.0       1.0       0.0       0.0       0.0       7.0       0.0       0.0       2.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Nectomys_squamipes"       2.0       0.0       0.0       0.0       0.0       8.0       0.0       0.0       2.0       0.0      42.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       2.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Mus_musculus"             0.0       0.0       0.0       0.0       0.0       0.0       0.0      92.0       0.0       3.0       0.0       0.0       0.0       0.0       0.0     102.0       0.0       7.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Akodon_azarae"            0.0       0.0       0.0       0.0       0.0       0.0       0.0      29.0       0.0     329.0       0.0      53.0      61.0       0.0       0.0       0.0      35.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Cavia_aperea"             2.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       8.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Euryoryzomys_russa"      63.0       0.0      35.0      84.0       0.0       0.0       0.0       0.0       0.0       0.0     129.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Rattus_rattus"            0.0       0.0       0.0       0.0       0.0       1.0       0.0      32.0       0.0       0.0       0.0       0.0       0.0       2.0       0.0       2.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Clyomys_laticeps"         0.0      28.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0      10.0       0.0       0.0      28.0       0.0       0.0       0.0
"Calomys_laucha"           0.0       0.0       0.0       0.0       0.0       0.0       0.0       2.0      13.0      23.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Cerradomys_subflav"       0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       4.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Holochilus_chacari"       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0      35.0       4.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Akodon_serrensis"         0.0       0.0       8.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0      25.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Blarinomys_brevice"       1.0       0.0       0.0       5.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Brucepattersonius_"      63.0       0.0       0.0      10.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Akodon_cursor"            0.0       0.0       0.0       0.0       0.0     181.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0
"Oecomys_bicolor"          0.0      16.0       0.0       0.0       8.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Oecomys_concolor"         0.0       0.0       0.0       0.0       0.0       4.0       0.0       0.0       0.0       0.0      13.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Oecomys_trinitatis"       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       4.0       0.0       0.0      40.0       0.0       0.0       0.0       0.0       0.0
"Cuniculus_paca"           0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0     194.0       1.0       0.0
"Oligoryzomys_forne"       0.0       2.0       0.0       0.0       0.0       0.0       0.0       0.0       9.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Dasyprocta_azarae"        0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0      55.0     122.0
"Oryzomys_nigripes"        0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       2.0       0.0       0.0       2.0       0.0       0.0       0.0       0.0       0.0
"Oxymycterus_dasytr"      11.0       0.0       7.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Phyllomys_nigrispi"      11.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Proechimys_longica"       0.0       5.0       0.0       0.0       6.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Proechimys_setosus"       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0      80.0       0.0       0.0      20.0       0.0       0.0       0.0       0.0       0.0
"Pseudoryzomys_simp"       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0      25.0       0.0       0.0       0.0       3.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Calomys_musculinus"       0.0       0.0       0.0       0.0       0.0       0.0       0.0       2.0       0.0     374.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Rhipidomys_mastaca"       3.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0      10.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Sooretamys_angouya"     106.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       8.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Holochilus_brasili"       0.0       0.0       0.0       0.0       0.0       0.0       0.0       2.0       0.0       0.0       0.0       0.0       3.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Trinomys_iheringi"        0.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0      20.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Akodon_dolores"           0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       4.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Kunsia_tomentosus"        0.0       5.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Marmosa_paraguayan"       0.0       0.0       0.0       0.0       0.0      40.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Cerradomys_marinhu"       0.0      11.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Cerradomys_scotti"        0.0      18.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Nectomys_rattus"          0.0       5.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Calomys_callosus"         0.0       0.0       0.0       0.0      34.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
