"X1193" "X1202" "X1246" "X1248" "X1340" "X1342" "X1381" "X1382" "X1397" "X1421" "X1422" "X1423" "X1443" "X1661" "X1797" "X1803" "X1825" "X1826" "X1827" "X1832" "X1842" "X1846" "X1852" "X1856" "X1893" "X1941" "X2360"
"Abrothrix_andina" 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Akodon_azarae" 0 0 53 61 0 29 0 0 0 0 0 0 0 0 0 0 0 0 35 0 0 0 329 0 0 0 0
"Akodon_cursor" 0 0 0 0 0 0 0 1 181 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Akodon_dolores" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0
"Akodon_montensis" 0 179 0 0 3 0 0 0 0 66 20 15 0 67 0 0 0 9 2 0 55 0 0 0 0 0 0
"Akodon_serrensis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 8 0 0 0 0 0 0 0 0 0
"Akodon_toba" 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bibimys_labiosus" 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Blarinomys_brevice" 0 1 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0
"Brucepattersonius_" 0 63 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0
"Calomys_callosus" 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Calomys_expulsus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0
"Calomys_laucha" 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 23 0 0 0 0
"Calomys_musculinus" 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 374 0 0 0 0
"Calomys_tener" 0 9 0 0 49 0 0 0 0 42 145 219 0 1 377 2 0 0 0 141 0 0 0 0 0 0 0
"Calomys_venustus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 234 0 0 0 0
"Caluromys_philande" 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cavia_aperea" 0 2 8 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cerradomys_marinhu" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0
"Cerradomys_scotti" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 0 0 0 0 0 0 0 0 0 0 0
"Cerradomys_subflav" 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0
"Clyomys_laticeps" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 28 0 0 0 0 0 0 0 28 0 0 0
"Cuniculus_paca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 194
"Dasyprocta_azarae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 122 55 0
"Dasyprocta_leporin" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 231
"Delomys_dorsalis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0
"Delomys_sublineatu" 0 151 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Didelphis_aurita" 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Eligmodontia_pueru" 0 0 0 0 0 0 0 0 0 0 0 0 42 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Euryoryzomys_nitid" 34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Euryoryzomys_russa" 0 63 0 0 0 0 0 0 0 0 0 0 0 84 0 0 129 35 0 0 0 0 0 0 0 0 0
"Graomys_chacoensis" 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Guerlinguetus_ingr" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16
"Holochilus_brasili" 0 0 0 3 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Holochilus_chacari" 0 0 35 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Holochilus_sciureu" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hydrochoerus_hydro" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"Hylaeamys_megaceph" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 26 0 0 0 0 0 0 0 0 0 0 0
"Juliomys_pictipes" 0 17 0 0 0 0 0 0 0 2 0 1 0 2 0 0 7 7 0 0 0 0 0 0 0 0 0
"Kunsia_tomentosus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0
