"X1216" "X1228" "X1883" "X1884" "X1885" "X1886" "X1901" "X1902" "X1913" "X1915" "X1918" "X1935" "X1958" "X1959" "X1960" "X1974" "X1977" "X1978" "X1979" "X1987" "X1988" "X1990" "X2001" "X2009" "X2014"
"Aonyx_cinerea" 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0
"Arctictis_binturon" 0 0 1 1 1 0 7 0 2 0 2 0 0 0 0 0 0 0 3 0 0 0 0 0 0
"Arctogalidia_trivi" 0 0 0 0 0 0 0 0 0 0 1 0 9 0 0 0 0 40 0 0 0 0 0 0 0
"Arctonyx_collaris" 0 0 0 0 0 0 0 0 3 4 0 0 0 0 0 33 0 0 0 0 0 0 0 0 0
"Atherurus_macrouru" 0 0 6 26 0 0 5 0 0 0 0 55 124 61 0 0 6 0 0 0 0 0 0 0 0
"Bos_frontalis" 0 0 5 0 0 0 0 0 13 9 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0
"Bos_javanicus" 0 0 0 0 0 0 0 0 0 65 23 0 0 0 0 52 0 0 0 0 0 0 0 0 0
"Bos_taurus" 0 0 0 0 0 0 0 245 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Callosciurus_canic" 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"Callosciurus_eryth" 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0
"Callosciurus_notat" 0 0 0 0 0 8 5 0 0 0 0 0 0 0 0 0 0 978 0 0 0 0 0 0 15
"Callosciurus_prevo" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0
"Canis_aureus" 0 0 0 0 0 0 0 0 6 7 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0
"Canis_lupus" 0 0 0 0 0 0 0 732 17 0 0 0 0 0 0 61 0 0 0 0 0 0 0 0 8
"Capricornis_milnee" 0 0 0 0 0 0 0 0 3 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0
"Capricornis_sumatr" 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
"Catopuma_badia" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Catopuma_temmincki" 0 0 21 38 0 0 43 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cephalopachus_banc" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"Cuon_alpinus" 0 0 6 13 0 0 0 0 8 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cynogale_bennettii" 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dremomys_pyrrhomer" 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dremomys_rufigenis" 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0
"Echinosorex_gymnur" 0 0 0 0 1 2 47 0 0 0 174 0 0 0 0 0 0 42 0 0 0 0 0 0 0
"Elephas_maximus" 0 0 167 10 0 0 0 0 9 84 13 0 0 0 0 361 0 0 0 0 0 0 0 0 0
"Felis_catus" 0 0 0 0 0 0 0 231 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"Felis_marmorata" 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Helarctos_malayanu" 0 0 96 167 0 2 0 0 16 5 29 0 7 3 391 3 0 49 14 0 0 2 0 1 0
"Hemigalus_derbyanu" 0 0 1 0 0 1 13 0 0 0 172 0 0 0 0 0 0 23 32 0 0 1 0 0 0
"Herpestes_brachyur" 0 0 0 0 0 1 0 0 0 0 27 0 0 0 0 0 0 4 2 0 0 1 0 0 0
"Herpestes_javanicu" 0 0 0 0 0 0 1 20 0 1 0 0 0 0 6 10 0 0 0 0 0 0 2 0 0
"Herpestes_semitorq" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"Herpestes_urva" 0 0 0 0 0 0 0 63 11 0 0 36 0 0 0 12 1 0 0 0 0 0 0 0 0
"Homo_sapiens" 0 0 49 0 0 0 0 0 53 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hylobates_muelleri" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0
"Hystrix_brachyura" 0 0 56 13 2 5 160 2116 30 36 76 0 115 112 15 163 0 272 15 0 0 15 0 7 54
"Hystrix_crassispin" 0 0 0 0 52 4 0 0 0 0 30 0 0 0 0 0 0 274 18 0 0 0 0 0 0
"Lariscus_insignis" 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Leopoldamys_edward" 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0
"Leopoldamys_neilli" 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Leopoldamys_sabanu" 1 0 0 0 0 1 83 0 0 0 0 0 0 0 0 0 0 5 0 0 0 4 0 0 0
"Lepus_peguensis" 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lutrogale_perspici" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 1 0 0 0 0 0 0
"Macaca_assamensis" 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"Macaca_fasciculari" 0 0 1 21 1 0 0 0 0 2 8 0 1 0 9 0 0 438 8 0 0 0 0 2 270
"Macaca_mulatta" 0 0 0 0 0 0 0 343 0 0 0 22 0 0 0 0 5 0 0 0 0 0 0 0 0
"Macaca_nemestrina" 0 0 11 91 63 16 237 0 37 10 294 0 111 40 294 15 0 1450 76 0 0 79 0 0 0
"Macaca_ochreata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 274 221 0 0 0 0
"Manis_javanica" 0 0 3 0 5 1 5 0 2 0 14 0 0 0 0 2 0 8 3 0 0 0 0 0 0
"Manis_pentadactyla" 0 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Martes_flavigula" 0 0 5 2 0 0 17 0 0 1 13 0 0 0 0 8 1 3 10 0 0 0 1 0 0
"Maxomys_rajah" 1 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Maxomys_surifer" 0 4 0 0 0 0 293 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Maxomys_whiteheadi" 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Melogale_moschata" 0 0 0 0 0 0 0 832 0 0 0 45 0 0 0 0 0 0 0 0 0 0 0 0 0
"Melogale_orientali" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34 0 0
"Menetes_beardmorei" 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Menetes_berdmorei" 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Muntiacus_atherode" 0 0 0 0 0 6 0 0 0 0 426 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Muntiacus_muntjak" 0 0 138 172 0 0 396 1563 60 183 0 98 6 3 3 94 54 0 0 0 0 56 0 0 0
"Mustela_kathiah" 0 0 0 0 0 0 0 18 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mydaus_javanensis" 0 0 0 0 0 0 0 0 0 0 93 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nasalis_larvalis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"Neofelis_diardi" 0 0 5 13 3 0 0 0 8 1 6 0 0 0 0 3 1 0 11 0 0 0 0 0 0
"Nycticebus_coucang" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Paguma_larvata" 0 0 0 2 0 0 21 599 0 0 0 12 6 0 0 0 0 0 3 0 0 0 0 0 0
"Panthera_pardus" 0 0 113 103 0 0 2 0 0 20 0 0 0 0 374 0 0 0 0 0 0 1 0 0 0
"Panthera_tigris" 0 0 22 151 0 0 5 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"Paradoxurus_hermap" 0 1 1 16 0 3 1 0 2 23 37 0 0 0 6 22 6 39 0 0 0 0 37 7 7
"Pardofelis_marmora" 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0
"Pardofelis_nebulos" 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pardofelis_temminc" 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"Petaurista_alboruf" 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pongo_pygmaeus" 0 0 0 0 0 0 0 0 0 0 23 0 0 0 0 0 0 178 1 0 0 0 0 0 0
"Presbytis_hosei" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"Presbytis_rubicund" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 7 3 0 0 0 0 0 0
"Presbytis_siamensi" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36 0 0 0 0 0 0 0 0 0 0
"Prionailurus_benga" 0 0 59 86 0 1 13 288 4 21 2 3 0 0 6 89 0 113 2 0 0 0 13 37 1
"Prionailurus_plani" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0
"Prionodon_linsang" 0 0 0 3 1 0 7 0 0 0 7 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"Prionodon_pardicol" 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 1 0 0 0 0 0 0 0 0
"Ptilocercus_lowii" 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rattus_exulans" 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"Rattus_laticaudatu" 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rattus_rattus" 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rattus_tanezumi" 28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
