Species              "X1902"   "X1979"   "X1935"   "X1884"   "X1977"   "X1915"   "X1885"   "X1987"   "X1901"   "X1918"   "X1958"   "X1974"   "X1913"   "X2001"   "X1886"   "X1959"   "X1978"   "X1228"             "X1960"   "X2014"   "X1883"   "X2009"   "X1988"   "X1990"  
"Prionailurus_benga"      13.0     113.0       2.0      59.0      89.0       4.0      86.0       2.0       1.0      21.0       3.0       6.0     288.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0      37.0       0.0      13.0       0.0       0.0
"Helarctos_malayanu"       0.0      49.0      29.0      96.0       3.0      16.0     167.0      14.0       2.0       5.0       0.0     391.0       0.0       2.0       0.0       7.0       0.0       0.0       0.0       3.0       1.0       0.0       0.0       0.0       0.0
"Martes_flavigula"        17.0       3.0      13.0       5.0       8.0       0.0       2.0      10.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0
"Rusa_unicolor"            0.0      89.0     123.0      20.0     218.0      28.0       0.0      21.0       5.0       0.0       0.0       0.0       0.0       0.0       0.0      14.0      90.0       0.0       0.0      12.0       0.0       0.0       0.0       0.0       0.0
"Manis_javanica"           5.0       8.0      14.0       3.0       2.0       2.0       0.0       3.0       1.0       0.0       0.0       0.0       0.0       0.0       5.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Sus_barbatus"             0.0    1126.0     254.0       0.0       0.0       0.0       0.0      92.0      19.0       0.0       0.0     134.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0      11.0       0.0       0.0       0.0       0.0
"Arctictis_binturon"       7.0       0.0       2.0       1.0       0.0       2.0       1.0       3.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Hemigalus_derbyanu"      13.0      23.0     172.0       1.0       0.0       0.0       0.0      32.0       1.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Paguma_larvata"          21.0       0.0       0.0       0.0       0.0       0.0       2.0       3.0       0.0       0.0      12.0       0.0     599.0       0.0       0.0       6.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Panthera_pardus"          2.0       0.0       0.0     113.0       0.0       0.0     103.0       0.0       0.0      20.0       0.0     374.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Herpestes_javanicu"       1.0       0.0       0.0       0.0      10.0       0.0       0.0       0.0       0.0       1.0       0.0       6.0      20.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       2.0       0.0       0.0
"Tapirus_indicus"         99.0       0.0       0.0     317.0       0.0       0.0     280.0       0.0       0.0       0.0       0.0     908.0       0.0      74.0       0.0       4.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Elephas_maximus"          0.0       0.0      13.0     167.0     361.0       9.0      10.0       0.0       0.0      84.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Viverra_zibetha"          0.0       0.0       0.0       2.0      26.0      37.0       3.0       0.0       0.0      45.0       0.0       3.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Prionodon_linsang"        7.0       0.0       7.0       0.0       0.0       0.0       3.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
"Herpestes_urva"           0.0       0.0       0.0       0.0      12.0      11.0       0.0       0.0       0.0       0.0      36.0       0.0      63.0       0.0       0.0       0.0       1.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
